# t_phys, cir150, cir750, cir1550, total_mass
0, 0, 0, 0, 1317
0.00866666666667, 0.00868802674203, 0, 0, 1292.74620061
0.0173333333333, -0.00953998059647, -0.000339410336014, 0, 1291.17759446
0.026, 0.0284513965874, 0.000193940978828, 0.000437123472789, 1289.94444471
0.0346666666667, 0.150759785493, 4.03315370589e-05, 5.80947017035e-05, 1288.62691615
0.0433333333333, 0.312166581024, -0.000466925568474, 0.000105501711124, 1288.12765224
0.052, 0.433888242732, 0.000233422447754, 5.68566577338e-05, 1287.65837367
0.0606666666667, 0.520884591095, -2.85206493476e-05, 1.70337919318e-05, 1287.14587281
0.0693333333333, 0.547910287052, -4.41899875727e-05, 1.03415661316e-05, 1286.80201095
0.078, 0.519182538594, 6.98502304937e-05, 4.02715469682e-05, 1286.47124984
0.0866666666667, 0.472267973267, -6.54472777964e-05, -1.67010599477e-06, 1286.20056523
0.0953333333333, 0.430133509013, 5.42488084317e-05, -2.16341012331e-05, 1285.9550101
0.104, 0.393953929592, -4.29757817382e-05, 1.92749123653e-05, 1285.73494684
0.112666666667, 0.363391259043, 3.32785797481e-05, -1.11099359725e-05, 1285.53317535
0.121333333333, 0.336991825934, -2.24733955187e-05, 4.26474185826e-06, 1285.35083813
0.13, 0.3141571125, 1.48380750559e-05, -7.78263184068e-07, 1285.18528923
0.138666666667, 0.294168146929, -9.98358572987e-06, -4.6024132323e-07, 1285.03084807
0.147333333333, 0.276627442076, 6.78325506259e-06, 7.40079239209e-07, 1284.88952739
0.156, 0.261154158733, -4.54232272374e-06, -6.70539699484e-07, 1284.75728408
0.164666666667, 0.247475610683, 3.00381020803e-06, 5.09280933363e-07, 1284.63396833
0.173333333333, 0.23535840083, 3.24573191101e-07, -3.30846286875e-07, 1284.51851561
0.182, 0.224601054051, -1.22035863497e-05, 1.88763499627e-07, 1284.40999567
0.190666666667, 0.215036690585, 2.01834062242e-05, -1.07772771365e-07, 1284.30779158
0.199333333333, 0.206505791841, 0.000137208275099, 6.43992266267e-08, 1284.21127081
0.208, 0.198872728536, -0.000500784818009, -3.75929504294e-08, 1284.11992069
0.216666666667, 0.192003951631, -0.00141653540612, 2.216602909e-08, 1284.0333248
0.225333333333, 0.185784904443, 0.00356618935014, -1.35993230058e-08, 1283.95105528
0.234, 0.180105908766, 0.0210842055194, 8.20443129424e-09, 1283.87279011
0.242666666667, 0.174872419773, 0.0494248272219, -4.85258191944e-09, 1283.79821117
0.251333333333, 0.169998296322, 0.0822721287148, 2.76709135267e-09, 1283.72705129
0.26, 0.165410334101, 0.113096884446, -1.68219574954e-09, 1283.65906549
0.268666666667, 0.161045263533, 0.134083992704, 1.17451929953e-09, 1283.59403318
0.277333333333, 0.156850876939, 0.142085261442, -7.57692977639e-10, 1283.53175795
0.286, 0.15278435064, 0.141994168783, 2.66679234025e-10, 1283.47205872
0.294666666667, 0.148811885232, 0.139245868127, -4.7755709782e-11, 1283.41477312
0.303333333333, 0.1449073464, 0.13562802771, 2.25513693283e-10, 1283.35975196
0.312, 0.141051421016, 0.131759929328, -4.5180043303e-11, 1283.30685919
0.320666666667, 0.137230450665, 0.128178495996, -2.66022833386e-11, 1283.25596988
0.329333333333, 0.133435522378, 0.12490107888, -5.88742346508e-11, 1283.20696929
0.338, 0.129661537531, 0.121741008398, -4.35755117436e-11, 1283.15975155
0.346666666667, 0.125906428794, 0.118666782516, -2.43219293981e-11, 1283.11421902
0.355333333333, 0.122170467108, 0.115741958827, -7.58078315497e-12, 1283.07028122
0.364, 0.118455669127, 0.112990490359, -4.98764438007e-11, 1283.02785435
0.372666666667, 0.114765313413, 0.110384304909, 4.68526465571e-11, 1282.98686053
0.381333333333, 0.111103530179, 0.107890602277, 5.49197941957e-10, 1282.9472273
0.39, 0.107474983594, 0.10549466311, -3.58706086059e-09, 1282.90888715
0.398666666667, 0.103884608385, 0.103194441818, 8.74732195979e-09, 1282.87177707
0.407333333333, 0.100337413515, 0.100989244502, 1.37076151795e-08, 1282.83583815
0.416, 0.0968383256591, 0.0988749322627, -1.58096774481e-07, 1282.80101528
0.424666666667, 0.0933920769975, 0.0968446737539, 2.83579793863e-07, 1282.7672568
0.433333333333, 0.0900031207936, 0.0948911422499, 1.11363505267e-06, 1282.73451425
0.442, 0.086675574914, 0.0930079457565, -4.69972320314e-06, 1282.70274211
0.450666666667, 0.0834131836503, 0.0911900205283, -5.84190556361e-06, 1282.67189755
0.459333333333, 0.0802192964917, 0.0894334590065, 4.37213591562e-05, 1282.64194029
0.468, 0.0770968583676, 0.0877351914547, 5.67112543728e-05, 1282.61283233
0.476666666667, 0.0740484097587, 0.0860927639757, -0.000285036549472, 1282.58453786
0.485333333333, 0.0710760935924, 0.0845042153762, -0.000807477321926, 1282.55702304
0.494, 0.0681816675863, 0.0829680241881, 0.000242578130968, 1282.5302559
0.502666666667, 0.065366520294, 0.0814830770106, 0.00571603295891, 1282.50420622
0.511333333333, 0.0626316898787, 0.080048638302, 0.0171643686919, 1282.47884536
0.52, 0.0599778846307, 0.0786643107837, 0.0328693520257, 1282.45414621
0.528666666667, 0.0574055045635, 0.0773299838052, 0.0483918366341, 1282.43008306
0.537333333333, 0.0549146635362, 0.0760457722097, 0.059340862502, 1282.40663151
0.546, 0.0525052114732, 0.074811949161, 0.0641036340616, 1282.38376839
0.554666666667, 0.0501767563736, 0.0736288778544, 0.0642308197536, 1282.3614717
0.563333333333, 0.047928685848, 0.0724969454901, 0.0625122700247, 1282.3397205
0.572, 0.0457601880166, 0.0714165023199, 0.0609317851824, 1282.31849487
0.580666666667, 0.0436702716197, 0.0703878073434, 0.060060421743, 1282.29777587
0.589333333333, 0.0416577852568, 0.0694109817919, 0.05960179021, 1282.27754542
0.598, 0.0397214356805, 0.0684859710389, 0.0591244016166, 1282.25778631
0.606666666667, 0.0378598051124, 0.0676125153174, 0.0584317636046, 1282.23848211
0.615333333333, 0.0360713675531, 0.0667901293065, 0.0575607767367, 1282.21961715
0.624, 0.0343545040861, 0.0660180903766, 0.0566349670741, 1282.20117648
0.632666666667, 0.0327075171781, 0.0652954350102, 0.0557513175366, 1282.18314578
0.641333333333, 0.0311286439925, 0.0646209626865, 0.0549462981317, 1282.16551141
0.65, 0.0296160687388, 0.0639932463361, 0.0542115653354, 1282.14826027
0.658666666667, 0.0281679340856, 0.063410648353, 0.0535217966884, 1282.13137989
0.667333333333, 0.0267823516707, 0.0628713410809, 0.0528544488095, 1282.11485827
0.676, 0.0254574117425, 0.0623733306786, 0.0521971487992, 1282.09868397
0.684666666667, 0.0241911919711, 0.0619144832975, 0.0515465730283, 1282.08284599
0.693333333333, 0.0229817654684, 0.061492552571, 0.050904288985, 1282.06733381
0.702, 0.0218272080555, 0.0611052075088, 0.0502731520896, 1282.05213732
0.710666666667, 0.0207256048199, 0.0607500600027, 0.0496553979784, 1282.03724685
0.719333333333, 0.0196750560002, 0.0604246912716, 0.0490521132301, 1282.02265309
0.728, 0.0186736822392, 0.060126676705, 0.0484634061159, 1282.00834712
0.736666666667, 0.0177196292441, 0.0598536086877, 0.0478887790597, 1281.99432035
0.745333333333, 0.0168110718918, 0.0596031171085, 0.0473274653837, 1281.98056455
0.754, 0.0159462178158, 0.0593728873677, 0.0467786580501, 1281.9670718
0.762666666667, 0.0151233105118, 0.059160675793, 0.0462416313445, 1281.95383448
0.771333333333, 0.0143406319952, 0.0589643224607, 0.0457157829212, 1281.94084525
0.78, 0.0135965050446, 0.0587817614869, 0.0452006292988, 1281.92809707
0.788666666667, 0.0128892950632, 0.0586110289122, 0.0446957827777, 1281.91558314
0.797333333333, 0.0122174115882, 0.0584502683431, 0.0442009273747, 1281.90329692
0.806, 0.0115793094772, 0.0582977345469, 0.0437158011722, 1281.89123212
0.814666666667, 0.0109734897999, 0.0581517952148, 0.0432401857246, 1281.87938266
0.823333333333, 0.0103985004603, 0.0580109311179, 0.0427739003332, 1281.86774268
0.832, 0.00985293657504, 0.0578737348831, 0.0423167987885, 1281.85630656
0.840666666667, 0.00933544063079, 0.0577389086109, 0.0418687670273, 1281.84506884
0.849333333333, 0.00884470244244, 0.0576052605467, 0.041429721009, 1281.83402426
0.858, 0.00837945893341, 0.0574717010041, 0.0409996046122, 1281.82316777
0.866666666667, 0.00793849375677, 0.0573372377206, 0.0405783875183, 1281.81249446
0.875333333333, 0.00752063677553, 0.0572009708098, 0.0401660630547, 1281.80199961
0.884, 0.00712476341887, 0.0570620874537, 0.039762645952, 1281.79167864
0.892666666667, 0.00674979392995, 0.0569198564588, 0.0393681699755, 1281.78152716
0.901333333333, 0.00639469251973, 0.0567736227839, 0.0389826854165, 1281.77154088
0.91, 0.00605846644033, 0.0566228021252, 0.0386062564584, 1281.76171569
0.918666666667, 0.00574016499023, 0.0564668756326, 0.0382389584486, 1281.7520476
0.927333333333, 0.0054388784626, 0.0563053848114, 0.0378808751127, 1281.74253275
0.936, 0.00515373704737, 0.056137926654, 0.0375320957477, 1281.73316741
0.944666666667, 0.00488390969635, 0.055964149031, 0.0371927124254, 1281.72394796
0.953333333333, 0.00462860296021, 0.0557837463616, 0.0368628172392, 1281.7148709
0.962, 0.00438705980517, 0.0555964555772, 0.0365424996197, 1281.70593286
0.970666666667, 0.00415855841643, 0.0554020523789, 0.0362318437516, 1281.69713054
0.979333333333, 0.00394241099491, 0.0552003477901, 0.0359309261168, 1281.68846077
0.988, 0.00373796255282, 0.0549911849947, 0.0356398131938, 1281.67992048
0.996666666667, 0.00354458971342, 0.0547744364529, 0.0353585593355, 1281.67150666
1.00533333333, 0.00336169951935, 0.0545500012791, 0.0350872048519, 1281.66321644
1.014, 0.00318872825358, 0.0543178028681, 0.0348257743133, 1281.655047
1.02266666667, 0.00302514027653, 0.0540777867523, 0.0345742750917, 1281.64699562
1.03133333333, 0.0028704268824, 0.0538299186735, 0.0343326961508, 1281.63905966
1.04, 0.00272410517728, 0.053574182851, 0.0341010070914, 1281.63123656
1.04866666667, 0.00258571698139, 0.053310580429, 0.0338791574535, 1281.62352383
1.05733333333, 0.00245482775718, 0.0530391280877, 0.0336670762755, 1281.61591906
1.066, 0.00233102556503, 0.0527598567996, 0.0334646719009, 1281.6084199
1.07466666667, 0.00221392004762, 0.0524728107191, 0.0332718320271, 1281.60102408
1.08333333333, 0.00210314144417, 0.0521780461875, 0.0330884239796, 1281.59372938
1.092, 0.00199833963502, 0.0518756308434, 0.0329142951987, 1281.58653366
1.10066666667, 0.00189918321737, 0.0515656428244, 0.0327492739203, 1281.57943483
1.10933333333, 0.00180535861231, 0.0512481700495, 0.0325931700303, 1281.57243086
1.118, 0.00171656920335, 0.0509233095724, 0.0324457760736, 1281.56551978
1.12666666667, 0.00163253450645, 0.0505911669959, 0.0323068683952, 1281.55869967
1.13533333333, 0.00155298937143, 0.0502518559404, 0.032176208392, 1281.55196867
